Subject	Gender	Hand Posture	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Image
103	male	Up	17	1100	j	j	1	326	Middle Finger
103	male	Up	18	500	b	b	1	435	Thumb
103	male	Up	19	500	h	h	1	326	Index
103	male	Up	20	950	k	k	1	414	Ring Finger
103	male	Up	21	500	j	j	1	318	Middle Finger
103	male	Up	22	1100	h	h	1	320	Index
103	male	Up	23	800	j	j	1	347	Middle Finger
103	male	Up	24	1100	b	b	1	342	Thumb
103	male	Up	25	800	j	j	1	419	Middle Finger
103	male	Up	26	1100	l	l	1	355	Little Finger
103	male	Up	27	950	h	h	1	352	Index
103	male	Up	28	500	j	j	1	307	Middle Finger
103	male	Up	29	650	l	l	1	320	Little Finger
103	male	Up	30	800	h	h	1	382	Index
103	male	Up	31	650	j	j	1	347	Middle Finger
103	male	Up	32	650	l	l	1	288	Little Finger
103	male	Up	33	650	j	j	1	323	Middle Finger
103	male	Up	34	950	h	h	1	339	Index
103	male	Up	35	650	k	k	1	424	Ring Finger
103	male	Up	36	1100	b	b	1	408	Thumb
103	male	Up	37	650	k	k	1	475	Ring Finger
103	male	Up	38	1100	h	h	1	334	Index
103	male	Up	39	950	b	b	1	382	Thumb
103	male	Up	40	1100	l	l	1	374	Little Finger
103	male	Up	41	800	h	h	1	326	Index
103	male	Up	42	950	k	k	1	374	Ring Finger
103	male	Up	43	950	j	j	1	421	Middle Finger
103	male	Up	44	650	b	b	1	322	Thumb
103	male	Up	45	1100	k	k	1	439	Ring Finger
103	male	Up	46	800	b	b	1	341	Thumb
103	male	Up	47	800	k	k	1	474	Ring Finger
103	male	Up	48	500	h	h	1	317	Index
103	male	Up	49	950	j	j	1	378	Middle Finger
103	male	Up	50	650	b	b	1	343	Thumb
104	female	Down	1	950	k	k	1	424	Ring Finger
104	female	Down	2	800	h	h	1	395	Index
104	female	Down	3	500	k	k	1	430	Ring Finger
104	female	Down	4	1100	l	l	1	360	Little Finger
104	female	Down	5	950	b	b	1	312	Thumb
104	female	Down	6	500	h	h	1	363	Index
104	female	Down	7	650	b	b	1	358	Thumb
104	female	Down	8	1100	h	h	1	248	Index
104	female	Down	9	1100	j	j	1	798	Middle Finger
104	female	Down	10	500	b	b	1	480	Thumb
104	female	Down	11	800	l	l	1	453	Little Finger
104	female	Down	12	650	k	k	1	408	Ring Finger
104	female	Down	13	950	l	l	1	424	Little Finger
104	female	Down	14	1100	b	b	1	424	Thumb
104	female	Down	15	650	k	k	1	502	Ring Finger
104	female	Down	16	950	h	h	1	408	Index
104	female	Down	17	650	j	j	1	387	Middle Finger
104	female	Down	18	650	l	l	1	528	Little Finger
104	female	Down	19	650	j	j	1	387	Middle Finger
104	female	Down	20	800	h	h	1	598	Index
104	female	Down	21	650	l	l	1	402	Little Finger
104	female	Down	22	500	j	j	1	542	Middle Finger
104	female	Down	23	950	h	h	1	288	Index
104	female	Down	24	1100	l	l	1	294	Little Finger
104	female	Down	25	800	j	j	1	446	Middle Finger
104	female	Down	26	1100	b	b	1	411	Thumb
104	female	Down	27	800	k	k	1	459	Ring Finger
104	female	Down	28	800	j	j	1	333	Middle Finger
104	female	Down	29	1100	h	h	1	354	Index
104	female	Down	30	500	j	j	1	421	Middle Finger
104	female	Down	31	950	k	k	1	383	Ring Finger
104	female	Down	32	500	h	h	1	455	Index
104	female	Down	33	500	l	l	1	455	Little Finger
104	female	Down	34	1100	k	k	1	439	Ring Finger
104	female	Down	35	650	b	b	1	447	Thumb
104	female	Down	36	950	j	j	1	303	Middle Finger
104	female	Down	37	500	b	b	1	399	Thumb
104	female	Down	38	1100	k	k	1	498	Ring Finger
104	female	Down	39	1100	j	j	1	378	Middle Finger
104	female	Down	40	950	l	l	1	293	Little Finger
104	female	Down	41	950	b	b	1	365	Thumb
104	female	Down	42	500	k	k	1	482	Ring Finger
104	female	Down	43	800	l	l	1	445	Little Finger
104	female	Down	44	650	h	h	1	391	Index
104	female	Down	45	800	b	b	1	349	Thumb
104	female	Down	46	500	l	l	1	431	Little Finger
104	female	Down	47	650	h	h	1	327	Index
104	female	Down	48	950	j	j	1	351	Middle Finger
104	female	Down	49	800	k	k	1	501	Ring Finger
104	female	Down	50	800	b	b	1	370	Thumb
104	female	Up	1	800	k	k	1	489	Ring Finger
104	female	Up	2	650	h	h	1	420	Index
104	female	Up	3	500	l	l	1	460	Little Finger
104	female	Up	4	800	b	b	1	393	Thumb
104	female	Up	5	800	l	l	1	521	Little Finger
104	female	Up	6	500	k	k	1	431	Ring Finger
104	female	Up	7	950	l	l	1	420	Little Finger
104	female	Up	8	1100	j	j	1	276	Middle Finger
104	female	Up	9	1100	k	j	0	343	Ring Finger
104	female	Up	10	500	b	b	1	383	Thumb
104	female	Up	11	500	l	l	1	335	Little Finger
104	female	Up	12	650	h	h	1	284	Index
104	female	Up	13	800	l	l	1	428	Little Finger
104	female	Up	14	500	k	k	1	407	Ring Finger
104	female	Up	15	950	b	b	1	303	Thumb
104	female	Up	16	950	l	l	1	417	Little Finger
104	female	Up	17	1100	j	j	1	296	Middle Finger
104	female	Up	18	500	b	b	1	377	Thumb
104	female	Up	19	500	h	h	1	432	Index
104	female	Up	20	950	k	k	1	438	Ring Finger
104	female	Up	21	500	j	j	1	336	Middle Finger
104	female	Up	22	1100	h	h	1	480	Index
